EMAIL, NAME, LAST_NAME, TEL, CITY, PASSWORD
ivan.abramov@example.com, Ivan, Abramov, 7776514, Moscow, i4ND0EX8
alexey.nikolaev@example.com, Alexey, Nikolaev, 1348520, Moscow, lttDeNgh
marina.shapar@example.com, Marina, Shapar, 1111110, Moscow, 8w/TF.6I
dmitriy.vasilyev@example.com, Dmitriy, Vasilyev, 0000000, Kazan, 0a%0bnOs
anastasiya.grigoryan@example.com, Anastasiya, Grigoryan, 1928421, Ekaterinburg, ZeCaLho@
andrey.fedorov@example.com, Andrey, Fedorov, 85212384, Minsk, uKvM.Pc$
alexey.lisitsyn@example.com, Alexey, Lisitsyn, 1239532, Tver, ARY/kn?r
dariya.abramova@example.com, Dariya, Abramova, 7163908, Moscow, Hcn1yjMs
nataliya.kostina@example.com, Nataliya, Kostina, 9031433, Moscow, rxOOmDT3
nikolay.ermolin@example.com, Nikolay, Ermolin, 8539233, St.Petersburg, uLe4g%Q@
vladimir.solovovo@example.com, Vladimir, Solovovo, 4758395, St.Petersburg, k.2Nq!fx
vladimir.ivanov@example.com, Vladimir, Ivanov, 4827594, Novosibirsk, G!H!@ASg
sergey.nikolaev@example.com, Sergey, Nikolaev, 1294375, Sarov, 0l/huUSP
ivan.ivanov@example.com, Ivan, Ivanov, 8532354, Kazan, ooL1ZOwr
konstantin.semenov@example.com, Konstantin, Semenov, 8532286, Moscow, @d3Z5JIP
grigoriy.smirnov@example.com, Grigoriy, Smirnov, 3249235, Kaliningrad, qqOXllQ@
alexandr.lashko@example.com, Alexandr, Lashko, 9548324, St.Petersburg, !1nsi4x3
oksana.edger@example.com, Oksana, Edger, 8548433, Kostroma, HOpNPmb7
olga.bogomolova@example.com, Olga, Bogomolova, 8953253, Moscow, CsTPMlTH
evgeniy.strizh@example.com, Evgeniy, Strizh, 1123313, Krasnodar, gj8C15#G
valentina.sergach@example.com, Valentina, Sergach, 12345567, St.Petersburg, .kowtH/0
polina.volskaya@example.com, Polina, Volskaya, 1394542, Vladimir, GH0lNwLa
fedor.malinin@example.com, Fedor, Malinin, 9453223, Moscow, tfQ2N/sJ
olga.pahomova@example.com, Olga, Pahomova, 8543231, Moscow, HqEDp#kr
stepan.bogdanov@example.com, Stepan, Bogdanov, 4564624, St.Petersburg, E?CcvQ5C
ivan.sobolev@example.com, Ivan, Sobolev, 2350223, Kirov, fxDL.hnH
kristina.orlova@example.com, Kristina, Orlova, 1342349, Talnakh, p!#6g.AD
alexandr.ermolin@example.com, Alexandr, Ermolin, 2345234, Mozhaysk, j!w/KwlB
ekaterina.vasilevskaya@example.com, Ekaterina, Vasilevskaya, 9583573, Moscow, b#So2m3f
tatiana.koroleva@example.com, Tatiana, Koroleva, 8674532, Vidnoe, @uRDj16A
elena.moskvina@example.com, Elena, Moskvina, 7584294, Moscow, 8vX37@B7
mikhail.sinev@example.com, Mikhail, Sinev, 5964353, St.Petersburg, HJWJ%Y/e
anastasiya.boshich@example.com, Anastasiya, Boshich, 9654534, Omsk, NhXhSD$r
svetlana.kapustina@example.com, Svetlana, Kapustina, 9476353, Moscow, VO4!9p4N
boris.nikolaev@example.com, Boris, Nikolaev, 9583583, Moscow, @0KDDTU2
andrey.mozgvin@example.com, Andrey, Mozgvin, 8537572, Krasnodar, Q$HFAh!#
oksana.bogatyreva@example.com, Oksana, Bogatyreva, 8743565, St.Petersburg, FJ6!O00b
kseniya.nosatenko@example.com, Kseniya, Nosatenko, 1234194, Yaroslavl, JvUS?K7G
konstantin.grigoriev@example.com, Konstantin, Grigoriev, 1284575, Moscow, O1aDc2l!
